"index","brewery_name","latitude","longitude","rating"
371,"SweetWater Brewing Company","33.8084282","-84.3806531","4.5"
372,"Flying Mouse Brewery","37.4092109","-79.9004933","4.4"
373,"Flying Mouse Brewery","37.4092109","-79.9004933","4.4"
374,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
375,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
376,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
377,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
378,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
379,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
380,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
381,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
382,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
383,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
384,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
385,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
386,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
387,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
388,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
389,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
390,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
391,"Upslope Brewing Company","40.0202785","-105.218426","4.7"
392,"Pipeworks Brewing Company","41.9183425","-87.7254048","4.9"
393,"Bent Brewstillery","45.024508","-93.173879","4.6"
394,"Bent Brewstillery","45.024508","-93.173879","4.6"
395,"Bent Brewstillery","45.024508","-93.173879","4.6"
396,"Flesk Brewing Company","42.1559206","-88.1388215","4.6"
397,"Pollyanna Brewing Company","41.6759421","-87.9979374","4.7"
398,"BuckleDown Brewing","41.8058324","-87.8371831","4.7"
399,"Destihl Brewery","40.5293469","-88.9462161","4.6"
400,"Destihl Brewery","40.5293469","-88.9462161","4.6"
401,"Destihl Brewery","40.5293469","-88.9462161","4.6"
402,"Destihl Brewery","40.5293469","-88.9462161","4.6"
403,"Destihl Brewery","40.5293469","-88.9462161","4.6"
404,"Destihl Brewery","40.5293469","-88.9462161","4.6"
405,"Destihl Brewery","40.5293469","-88.9462161","4.6"
406,"Summit Brewing Company","44.914066","-93.139609","4.6"
407,"Summit Brewing Company","44.914066","-93.139609","4.6"
408,"Summit Brewing Company","44.914066","-93.139609","4.6"
409,"Latitude 42 Brewing Company","42.20258","-85.560416","4.5"
410,"Latitude 42 Brewing Company","42.20258","-85.560416","4.5"
411,"Latitude 42 Brewing Company","42.20258","-85.560416","4.5"
412,"Latitude 42 Brewing Company","42.20258","-85.560416","4.5"
413,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
414,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
415,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
416,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
417,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
418,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
419,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
420,"4 Hands Brewing Company","38.6149554","-90.1975257","4.6"
421,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
422,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
423,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
424,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
425,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
426,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
427,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
428,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
429,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
430,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
431,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
432,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
433,"Surly Brewing Company","44.9729768","-93.2098183","4.6"
434,"Against The Grain Brewery","38.2554896","-85.7440216","4.4"
435,"Against The Grain Brewery","38.2554896","-85.7440216","4.4"
436,"Crazy Mountain Brewing Company","39.708802","-105.0777834","4"
437,"Crazy Mountain Brewing Company","39.708802","-105.0777834","4"
438,"Crazy Mountain Brewing Company","39.708802","-105.0777834","4"
441,"Crazy Mountain Brewing Company","39.708802","-105.0777834","4"
442,"Crazy Mountain Brewing Company","39.708802","-105.0777834","4"
443,"Crazy Mountain Brewing Company","39.708802","-105.0777834","4"
444,"SlapShot Brewing Company","41.8336965","-87.7323797","3.9"
445,"SlapShot Brewing Company","41.8336965","-87.7323797","3.9"
446,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
447,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
448,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
449,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
450,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
451,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
452,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
453,"Mikerphone Brewing","42.0297529","-87.9675453","4.7"
455,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
456,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
457,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
458,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
459,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
460,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
461,"Freetail Brewing Company","29.4015813","-98.4822392","4.6"
462,"3 Daughters Brewing","27.7691552","-82.662814","4.6"
463,"3 Daughters Brewing","27.7691552","-82.662814","4.6"
464,"3 Daughters Brewing","27.7691552","-82.662814","4.6"
465,"Red Shedman Farm Brewery and Hop...","39.4228993","-77.1924996","4.4"
466,"Red Shedman Farm Brewery and Hop...","39.4228993","-77.1924996","4.4"
467,"Red Shedman Farm Brewery and Hop...","39.4228993","-77.1924996","4.4"
468,"Red Shedman Farm Brewery and Hop...","39.4228993","-77.1924996","4.4"
469,"Red Shedman Farm Brewery and Hop...","39.4228993","-77.1924996","4.4"
470,"Appalachian Mountain Brewery","36.203368","-81.6684386","4.7"
471,"Appalachian Mountain Brewery","36.203368","-81.6684386","4.7"
472,"Appalachian Mountain Brewery","36.203368","-81.6684386","4.7"
473,"Birdsong Brewing Company","35.230652","-80.826536","4.8"
474,"Union Craft Brewing","39.336305","-76.64423","4.6"
475,"Union Craft Brewing","39.336305","-76.64423","4.6"
476,"Union Craft Brewing","39.336305","-76.64423","4.6"
477,"Union Craft Brewing","39.336305","-76.64423","4.6"
478,"Atwater Brewery","42.3373555","-83.0184811","4.3"
479,"Atwater Brewery","42.3373555","-83.0184811","4.3"
480,"Atwater Brewery","42.3373555","-83.0184811","4.3"
481,"Atwater Brewery","42.3373555","-83.0184811","4.3"
482,"Atwater Brewery","42.3373555","-83.0184811","4.3"
483,"Atwater Brewery","42.3373555","-83.0184811","4.3"
484,"Ale Asylum","43.120465","-89.354151","4.3"
485,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
486,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
487,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
488,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
489,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
490,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
491,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
492,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
493,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
494,"Two Brothers Brewing Company","41.824462","-88.211933","4.5"
495,"Bent Paddle Brewing Company","46.7684725","-92.1206784","4.8"
496,"Bent Paddle Brewing Company","46.7684725","-92.1206784","4.8"
497,"Bent Paddle Brewing Company","46.7684725","-92.1206784","4.8"
498,"Bent Paddle Brewing Company","46.7684725","-92.1206784","4.8"
499,"Bent Paddle Brewing Company","46.7684725","-92.1206784","4.8"
500,"Bent Paddle Brewing Company","46.7684725","-92.1206784","4.8"
501,"Bell's Brewery","42.294741","-85.579079","4.7"
502,"Bell's Brewery","42.294741","-85.579079","4.7"
503,"Bell's Brewery","42.294741","-85.579079","4.7"
504,"Bell's Brewery","42.294741","-85.579079","4.7"
505,"Bell's Brewery","42.294741","-85.579079","4.7"
506,"Bell's Brewery","42.294741","-85.579079","4.7"
511,"Speakasy Ales & Lagers","37.738157","-122.3806562","4.5"
512,"Black Tooth Brewing Company","44.8009273","-106.9537799","4.7"
513,"Black Tooth Brewing Company","44.8009273","-106.9537799","4.7"
514,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
515,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
516,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
517,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
518,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
519,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
520,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
521,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
522,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
523,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
524,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
525,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
526,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
527,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
528,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
529,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
530,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
531,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
532,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
533,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
534,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
535,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
536,"Hopworks Urban Brewery","45.4969091","-122.6348353","4.4"
537,"Epic Brewing","40.7511577","-111.8878131","4.5"
538,"Epic Brewing","40.7511577","-111.8878131","4.5"
539,"Epic Brewing","40.7511577","-111.8878131","4.5"
540,"Epic Brewing","40.7511577","-111.8878131","4.5"
541,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
542,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
543,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
544,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
545,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
546,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
547,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
548,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
549,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
550,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
551,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
552,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
553,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
554,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
555,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
556,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
557,"New Belgium Brewing Company","35.5872512","-82.5715645","4.7"
558,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
559,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
560,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
561,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
562,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
563,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
564,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
565,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
566,"Sierra Nevada Brewing Company","35.4307844","-82.5536875","4.7"
574,"Brewery Terra Firma","44.7150901","-85.6350663","4.7"
575,"Grey Sail Brewing Company","41.384963","-71.8324189","4.7"
576,"Grey Sail Brewing Company","41.384963","-71.8324189","4.7"
577,"Kirkwood Station Brewing Company","38.5825304","-90.4058179","3.5"
578,"Kirkwood Station Brewing Company","38.5825304","-90.4058179","3.5"
579,"Goose Island Brewing Company","39.9652138","-75.1355053","4.1"
